Subject,Gender,Condition,SegmentType,AlphaPower,BetaPower,BetaAlphaRatio,AlphaLateralization,AttentionEngagement,NormAlphaLateralization,NormAttentionEngagement
JKH,F,长,前段,2.2711542911084472,0.39221937741253865,0.17269605105565689,0.06669266528736895,0.17269605105565689,0.29251856604708826,2.776425307423246
JKH,F,长,中段,1.8018525565741186,0.3417332166868107,0.1896565928438405,0.014688880123305381,0.1896565928438405,-0.14754340699112514,4.260596823749233
JKH,F,长,后段,2.1159795037895153,0.33450658452083737,0.15808592848927333,0.19234542215947936,0.15808592848927333,-258.91611306022065,2.244606101971641
JKH,F,漫,前段,2.3038439265584882,0.40091131484942677,0.17401843511522644,-0.08009365771576915,0.17401843511522644,-0.3512962303055586,2.797685206226252
JKH,F,漫,中段,2.2189879836658735,0.3079744455797025,0.1387904972206808,0.06274989672541542,0.1387904972206808,-0.6302953985252943,3.1179003205646487
JKH,F,漫,后段,2.449544185043172,0.4274682513988554,0.17450930422441902,0.11326043391156304,0.17450930422441902,-152.45983492958678,2.4777957966039645
JKH,F,短,前段,2.24578882837852,0.45462020734437386,0.202432304230765,0.06738967883809988,0.202432304230765,0.2955757148879191,3.254493481875638
JKH,F,短,中段,2.4070943902661757,0.5034629497531274,0.20915795898533696,-0.013125257275860669,0.20915795898533696,0.13183749610993242,4.6986910518240945
JKH,F,短,后段,2.3185904435145797,0.427882594262893,0.18454427579469249,0.010923190667794014,0.18454427579469249,-14.703703567095893,2.6202788033775635
XLL,F,长,前段,10.880108000337577,1.2052283606696752,0.11077356590874655,-0.7870680310439724,0.11077356590874655,1.6598281632194987,1.0235378897114218
XLL,F,长,中段,8.71523255128021,1.0048127798482172,0.11529385750017845,-0.2083653776237604,0.11529385750017845,0.5692903718963184,0.7603347395424851
XLL,F,长,后段,11.060093087205733,1.1422383057016252,0.10327565027666553,0.11531255710730015,0.10327565027666553,-0.5575247481011094,0.783087785724882
XLL,F,漫,前段,11.102177958357359,0.8885826426783671,0.08003678611631972,-1.7621881978039706,0.08003678611631972,3.7162347906932474,0.7395327801243413
XLL,F,漫,中段,10.869790789991958,0.7845901546317142,0.07218079628120375,-2.061976940836015,0.07218079628120375,5.633678842795951,0.47601466487799043
XLL,F,漫,后段,10.843656076766758,0.7340899922932498,0.06769764617176356,-1.633252110387529,0.06769764617176356,7.89661155967693,0.5133175118957432
XLL,F,短,前段,16.352763489465566,0.8108038067500233,0.04958206649734415,-1.933219346317916,0.04958206649734415,4.076918119064087,0.45813388143547995
XLL,F,短,中段,16.11017893057373,0.9205762049797299,0.057142518959405836,-2.3513104220967183,0.057142518959405836,6.4241881252276185,0.37684091079816723
XLL,F,短,后段,15.623371727409301,0.9128108335771459,0.058425981888130495,-1.9340643883231259,0.058425981888130495,9.351009013769527,0.44301510242744696
CQY,F,长,前段,3.6798918776273375,0.6017341971437868,0.16351953186509477,0.8832027843753334,0.16351953186509477,0.7766924540324056,3.8836462179699014
CQY,F,长,中段,3.9161020914375415,0.5168212908735034,0.13197339568943314,1.2447748688944467,0.13197339568943314,1.0331728226846377,4.072527558923939
CQY,F,长,后段,3.8631887850758453,0.47019469353102455,0.12171154962642948,0.9781984806581789,0.12171154962642948,1.0216039721384644,3.055490145436962
CQY,F,漫,前段,2.716684228815182,0.4102866233998921,0.15102477463081124,0.2211070053931632,0.15102477463081124,0.19444248326734384,3.5868913525180415
CQY,F,漫,中段,4.620803586836636,0.7761780727311051,0.16797469490852568,0.2364188348920031,0.16797469490852568,0.19622947175831587,5.1834808875163665
